id,q1_1,q1_2,q1_3,op,q2_1,q2_2,q2_3
0,0,4,12,-,0,4,12
1,0,5,8,-,0,1,8
2,0,7,8,-,0,5,8
3,0,5,7,-,0,2,7
4,0,6,12,-,0,4,12
5,0,4,12,-,0,2,12
6,0,4,7,-,0,2,7
7,0,6,11,-,0,6,11
8,0,6,12,-,0,1,12
9,0,4,11,-,0,1,11
10,0,5,12,-,0,3,12
11,0,3,7,-,0,3,7
12,0,3,9,-,0,1,9
13,0,5,11,-,0,3,11
14,0,6,10,-,0,3,10
15,0,7,11,-,0,5,11
16,0,8,9,-,0,5,9
17,0,8,13,-,0,2,13
18,0,4,9,-,0,4,9
19,0,5,13,-,0,1,13
20,0,4,7,-,0,4,7
21,0,11,12,-,0,1,12
22,0,7,13,-,0,2,13
23,0,6,8,-,0,6,8
24,0,8,9,-,0,3,9
25,0,6,8,-,0,2,8
26,0,8,11,-,0,6,11
27,0,3,10,-,0,1,10
28,0,8,9,-,0,2,9
29,0,5,6,-,0,3,6
30,0,4,8,-,0,1,8
31,0,3,9,-,0,3,9
32,0,6,7,-,0,4,7
33,0,6,9,-,0,3,9
34,0,6,12,-,0,3,12
35,0,3,12,-,0,1,12
36,0,4,9,-,0,1,9
37,0,6,8,-,0,3,8
38,0,5,7,-,0,5,7
39,0,4,6,-,0,4,6
40,0,8,9,-,0,1,9
41,0,3,5,-,0,3,5
42,0,5,6,-,0,2,6
43,0,4,5,-,0,4,5
44,0,5,10,-,0,3,10
45,0,3,7,-,0,1,7
46,0,6,10,-,0,2,10
47,0,5,10,-,0,1,10
48,0,4,5,-,0,1,5
49,0,6,7,-,0,3,7
50,0,8,10,-,0,5,10
51,0,6,7,-,0,1,7
52,0,8,10,-,0,4,10
53,0,6,11,-,0,3,11
54,0,3,8,-,0,1,8
55,0,3,13,-,0,1,13
56,0,8,11,-,0,8,11
57,0,7,10,-,0,3,10
58,0,5,10,-,0,2,10
59,0,7,8,-,0,1,8
60,0,7,9,-,0,7,9
61,0,3,13,-,0,3,13
62,0,3,10,-,0,3,10
63,0,5,11,-,0,5,11
64,0,6,9,-,0,2,9
65,0,10,13,-,0,6,13
66,0,3,5,-,0,1,5
67,0,11,12,-,0,7,12
68,0,4,11,-,0,2,11
69,0,5,12,-,0,5,12
70,0,9,11,-,0,2,11
71,0,10,12,-,0,3,12
72,0,5,12,-,0,2,12
73,0,6,11,-,0,4,11
74,0,10,11,-,0,1,11
75,0,3,12,-,0,3,12
76,0,3,11,-,0,1,11
77,0,5,6,-,0,5,6
78,0,9,13,-,0,6,13
79,0,7,12,-,0,1,12
80,0,7,8,-,0,3,8
81,0,8,13,-,0,1,13
82,0,6,13,-,0,6,13
83,0,6,12,-,0,6,12
84,0,5,6,-,0,1,6
85,0,8,9,-,0,6,9
86,0,7,9,-,0,4,9
87,0,4,9,-,0,2,9
88,0,6,13,-,0,4,13
89,0,6,10,-,0,6,10
90,0,3,6,-,0,1,6
91,0,10,12,-,0,1,12
92,0,4,11,-,0,4,11
93,0,7,12,-,0,4,12
94,0,5,8,-,0,5,8
95,0,5,7,-,0,1,7
96,0,4,13,-,0,4,13
97,0,4,10,-,0,4,10
98,0,4,6,-,0,1,6
99,0,4,5,-,0,2,5
100,0,9,13,-,0,3,13
101,0,7,9,-,0,5,9
102,0,10,11,-,0,6,11
103,0,8,13,-,0,4,13
104,0,3,6,-,0,3,6
105,0,8,12,-,0,8,12
106,0,4,13,-,0,1,13
107,0,7,13,-,0,1,13
108,0,8,10,-,0,8,10
109,0,10,12,-,0,5,12
110,0,3,8,-,0,3,8
111,0,4,8,-,0,2,8
112,0,4,13,-,0,2,13
113,0,8,12,-,0,3,12
114,0,5,11,-,0,2,11
115,0,10,13,-,0,8,13
116,0,4,6,-,0,2,6
117,0,9,13,-,0,4,13
118,0,4,10,-,0,1,10
119,0,9,10,-,0,9,10
120,0,9,12,-,0,1,12
121,0,9,10,-,0,7,10
122,0,7,13,-,0,5,13
123,0,5,8,-,0,3,8
124,0,11,12,-,0,9,12
125,0,10,13,-,0,7,13
126,0,11,12,-,0,4,12
127,0,11,12,-,0,8,12
128,0,7,10,-,0,2,10
129,0,7,9,-,0,3,9
130,0,5,11,-,0,1,11
131,0,6,11,-,0,1,11
132,0,6,7,-,0,2,7
133,0,3,11,-,0,3,11
134,0,8,11,-,0,4,11
135,0,7,11,-,0,1,11
136,0,9,11,-,0,5,11
137,0,10,12,-,0,8,12
138,0,6,7,-,0,6,7
139,0,11,13,-,0,3,13
140,0,11,13,-,0,7,13
141,0,9,13,-,0,7,13
142,0,5,7,-,0,3,7
143,0,4,7,-,0,1,7
144,0,5,9,-,0,5,9
145,0,9,10,-,0,3,10
146,0,5,9,-,0,3,9
147,0,7,11,-,0,2,11
148,0,5,9,-,0,2,9
149,0,5,13,-,0,3,13
150,0,7,11,-,0,3,11
151,0,7,10,-,0,1,10
152,0,6,10,-,0,4,10
153,0,11,13,-,0,8,13
154,0,9,11,-,0,9,11
155,0,7,11,-,0,7,11
156,0,5,10,-,0,5,10
157,0,6,8,-,0,1,8
158,0,9,10,-,0,6,10
159,0,9,11,-,0,6,11
160,0,9,12,-,0,7,12
161,0,8,12,-,0,2,12
162,0,10,13,-,0,3,13
163,0,7,10,-,0,4,10
164,0,8,12,-,0,6,12
165,0,8,10,-,0,6,10
166,0,6,9,-,0,4,9
167,0,4,10,-,0,2,10
168,0,7,13,-,0,4,13
169,0,8,12,-,0,5,12
170,0,7,8,-,0,2,8
171,0,10,11,-,0,4,11
172,0,7,12,-,0,3,12
173,0,7,9,-,0,2,9
174,0,8,11,-,0,3,11
175,0,6,10,-,0,1,10
176,0,11,12,-,0,5,12
177,0,8,13,-,0,8,13
178,0,5,12,-,0,1,12
179,0,9,10,-,0,1,10
180,0,8,10,-,0,2,10
181,0,6,12,-,0,2,12
182,0,5,13,-,0,2,13
183,0,10,12,-,0,6,12
184,0,6,13,-,0,1,13
185,0,9,10,-,0,4,10
186,0,7,12,-,0,2,12
187,0,8,11,-,0,1,11
188,0,8,9,-,0,8,9
189,0,9,13,-,0,1,13
190,0,6,9,-,0,1,9
191,0,7,10,-,0,5,10
192,0,9,13,-,0,5,13
193,0,6,13,-,0,3,13
194,0,11,12,-,0,3,12
195,0,5,13,-,0,5,13
196,0,8,10,-,0,3,10
197,0,4,12,-,0,1,12
198,0,7,13,-,0,7,13
199,0,11,13,-,0,6,13
200,0,8,13,-,0,3,13
201,0,9,11,-,0,4,11
202,0,7,10,-,0,7,10
203,0,8,13,-,0,6,13
204,0,6,8,-,0,4,8
205,0,11,13,-,0,5,13
206,0,7,8,-,0,7,8
207,0,11,13,-,0,4,13
208,0,5,8,-,0,2,8
209,0,8,12,-,0,4,12
210,0,10,11,-,0,3,11
211,0,11,13,-,0,2,13
212,0,7,12,-,0,7,12
213,0,8,9,-,0,4,9
214,0,4,8,-,0,4,8
215,0,9,12,-,0,3,12
216,0,10,13,-,0,1,13
217,0,11,12,-,0,6,12
218,0,9,12,-,0,4,12
219,0,9,12,-,0,9,12
220,0,11,12,-,0,2,12
221,0,7,8,-,0,4,8
222,0,10,12,-,0,10,12
223,0,9,12,-,0,2,12
224,0,6,9,-,0,6,9
225,0,8,13,-,0,5,13
226,0,11,13,-,0,1,13
227,0,5,9,-,0,1,9
228,0,10,12,-,0,7,12
229,0,7,9,-,0,1,9
230,0,8,11,-,0,5,11
231,0,9,11,-,0,1,11
232,0,6,11,-,0,2,11
233,0,10,11,-,0,8,11
234,0,9,13,-,0,2,13
235,0,8,12,-,0,1,12
236,0,10,12,-,0,4,12
237,0,9,11,-,0,7,11
238,0,9,12,-,0,5,12
239,0,8,11,-,0,2,11
240,0,8,10,-,0,1,10
241,0,9,12,-,0,6,12
242,0,10,11,-,0,10,11
243,0,9,10,-,0,2,10
244,0,10,13,-,0,2,13
245,0,10,11,-,0,2,11
246,0,10,13,-,0,10,13
247,0,10,11,-,0,7,11
248,0,7,11,-,0,4,11
249,0,9,10,-,0,5,10
250,0,10,13,-,0,4,13
251,0,7,12,-,0,5,12
252,0,9,11,-,0,3,11
253,0,10,13,-,0,5,13
254,0,9,13,-,0,9,13
255,0,11,13,-,0,9,13
256,0,6,13,-,0,2,13
257,0,10,12,-,0,2,12
258,0,7,13,-,0,3,13
259,0,10,11,-,0,5,11
260,5,2,4,-,2,7,4
261,6,2,4,-,3,7,4
262,8,2,5,-,5,8,5
263,7,2,4,-,4,7,4
264,7,1,3,-,4,5,3
265,7,2,5,-,4,8,5
266,9,1,5,-,5,9,5
267,8,1,3,-,2,5,3
268,8,1,5,-,2,8,5
269,8,3,5,-,4,9,5
270,7,1,5,-,4,8,5
271,5,2,4,-,2,7,4
272,8,1,4,-,5,6,4
273,8,2,4,-,4,7,4
274,5,2,5,-,2,9,5
275,6,1,3,-,2,5,3
276,7,2,5,-,3,8,5
277,5,1,3,-,2,5,3
278,6,1,4,-,3,6,4
279,9,2,4,-,4,7,4
280,9,1,4,-,2,6,4
281,9,1,5,-,4,7,5
282,5,1,4,-,2,7,4
283,9,3,5,-,3,9,5
284,6,2,4,-,3,7,4
285,6,1,5,-,2,9,5
286,8,2,4,-,4,7,4
287,8,1,3,-,3,5,3
288,5,1,4,-,2,6,4
289,8,1,4,-,4,7,4
290,8,1,3,-,3,5,3
291,8,1,4,-,4,6,4
292,7,2,5,-,3,8,5
293,6,2,4,-,2,7,4
294,8,1,4,-,4,6,4
295,6,1,5,-,3,7,5
296,9,2,4,-,2,7,4
297,5,2,5,-,2,8,5
298,5,1,3,-,2,5,3
299,7,3,5,-,2,9,5
300,7,1,5,-,2,9,5
301,9,1,3,-,2,5,3
302,9,1,4,-,2,7,4
303,7,1,4,-,2,7,4
304,6,2,5,-,3,8,5
305,5,2,4,-,2,7,4
306,6,1,3,-,3,5,3
307,8,1,3,-,3,5,3
308,5,1,5,-,2,7,5
309,5,2,4,-,2,7,4
310,6,2,4,-,2,7,4
311,5,1,4,-,2,6,4
312,8,1,4,-,4,7,4
313,6,1,3,-,3,5,3
314,6,1,4,-,2,7,4
315,8,1,3,-,4,5,3
316,6,1,3,-,3,5,3
317,6,1,5,-,3,7,5
318,8,1,4,-,5,6,4
319,8,1,3,-,3,5,3
320,5,2,4,-,2,7,4
321,6,1,3,-,2,5,3
322,5,2,5,-,2,8,5
323,6,2,5,-,2,8,5
324,9,1,4,-,3,6,4
325,8,2,4,-,2,7,4
326,7,1,4,-,4,6,4
327,7,1,3,-,4,5,3
328,8,1,3,-,4,5,3
329,9,1,4,-,2,7,4
330,9,2,4,-,4,7,4
331,5,1,4,-,2,7,4
332,7,1,3,-,4,5,3
333,5,1,4,-,2,6,4
334,5,2,4,-,2,7,4
335,5,3,5,-,2,9,5
336,9,2,5,-,3,9,5
337,7,1,3,-,3,5,3
338,5,1,3,-,2,5,3
339,9,3,5,-,3,9,5
340,9,1,3,-,2,5,3
341,5,1,3,-,2,5,3
342,5,1,3,-,2,5,3
343,6,1,3,-,3,5,3
344,6,2,4,-,2,7,4
345,6,1,5,-,3,7,5
346,9,1,5,-,4,7,5
347,7,1,5,-,4,7,5
348,6,1,4,-,3,7,4
349,8,1,3,-,3,5,3
350,8,1,4,-,2,6,4
351,7,1,5,-,2,7,5
352,8,1,5,-,3,7,5
353,7,1,3,-,2,5,3
354,6,2,4,-,3,7,4
355,5,1,3,-,2,5,3
356,9,1,4,-,3,6,4
357,5,2,4,-,2,7,4
358,8,1,3,-,3,5,3
359,6,3,5,-,2,9,5
360,9,1,3,-,5,5,3
361,9,1,3,-,4,5,3
362,5,3,5,-,2,9,5
363,8,1,3,-,2,5,3
364,5,1,3,-,2,5,3
365,6,2,4,-,3,7,4
366,8,2,5,-,4,9,5
367,9,1,5,-,5,7,5
